Timestamp,Metric_1,Metric_2,Metric_3,Metric_4,Metric_5,Metric_6,Metric_7,Metric_8,Metric_9,Metric_10
2023/1/1 0:00,0.431868823,-0.188873043,-0.341767352,0.116742434,0.342999659,0.384729146,-0.284626325,0.07376387,0.166942191,0.343822728
2023/1/1 0:15,-0.069010578,0.403279667,0.112436117,0.428345363,0.168506354,0.423113917,0.036343115,-0.269420162,-0.228453941,0.176262555
2023/1/1 0:30,0.043694825,0.064230581,0.154286247,0.227009876,0.27315595,0.244282247,0.490974347,-0.01418496,0.175215711,-0.014125982
2023/1/1 0:45,0.213597298,0.644501291,0.244648074,0.314884411,-0.119114942,0.117989693,0.313402365,0.419974707,0.184938853,0.077851817
2023/1/1 1:00,0.387493436,0.714688742,0.274065797,1.827867356,0.288000489,0.363151806,0.229385643,-3.275114773,0.621718328,0.143921568
2023/1/1 1:15,0.654974257,0.70310097,0.271521982,0.014428265,0.317294769,0.513071915,0.195385878,-2.761374975,0.599898776,-0.004386812
2023/1/1 1:30,0.403916544,0.834450885,5.261758015,0.107768004,0.235260869,0.318483704,0.575788095,0.454063041,0.416413545,0.356253692
2023/1/1 1:45,0.589902477,0.732098678,0.611067218,0.608472774,0.573201701,-1.064628673,0.392472845,0.668604986,0.821520846,0.430659237
2023/1/1 2:00,0.86453773,1.119941696,0.63479289,0.376070215,3.974295189,0.850180628,0.396278103,0.253019358,0.57436507,0.58458122
2023/1/1 2:15,0.953123375,0.973441539,0.730302423,0.449143124,0.506739944,0.623146378,0.690461097,0.896419851,0.129445738,0.666675725
2023/1/1 2:30,0.769389757,0.742789309,0.728842285,0.67667721,0.322076475,0.700629834,0.684493926,0.668752658,0.461417508,0.42937988
2023/1/1 2:45,0.603692169,0.990984725,0.649560979,0.831025498,0.623545912,0.773696871,2.319160235,1.101250249,0.946521843,0.480294596
2023/1/1 3:00,0.97766773,1.165135805,12.86752557,0.96178859,0.520660474,0.707140308,0.562692154,1.027671194,0.973367751,0.85382941
2023/1/1 3:15,1.316406967,1.281532314,0.877649444,0.697102083,0.640541192,0.642277663,0.819612943,1.25331993,0.777761443,1.082411326
2023/1/1 3:30,1.173251524,1.208982891,11.68677381,0.617127534,0.658497988,1.156507451,0.762156769,1.290909375,0.962828886,0.599552895
2023/1/1 3:45,1.049133518,1.547672638,0.945547245,0.491430235,0.490596839,1.556270919,0.942374601,1.035903477,1.135792225,0.983542628
2023/1/1 4:00,1.240689485,1.316501254,1.141973722,3.875946055,0.797102549,0.906725905,0.975819302,1.65064008,1.138664232,1.254893263
2023/1/1 4:15,1.73886367,1.602042719,0.997888745,4.528108878,1.319571107,1.472884577,0.792465045,1.212840052,1.251572826,1.12812423
2023/1/1 4:30,1.598780902,1.628704675,0.935889256,1.270491232,0.94390635,1.309483699,1.256804743,1.122173307,1.21735954,0.966013902
2023/1/1 4:45,1.580046654,1.512783528,1.256758213,0.785949121,1.075342835,1.413134003,0.881408192,1.47867869,1.373399037,0.966991887
2023/1/1 5:00,1.91821579,1.581932609,1.621554863,1.308947219,1.434215747,1.710540117,1.250195404,1.473018831,1.680528774,1.252742164
2023/1/1 5:15,1.59269204,2.180550036,8.366977489,1.179949699,-1.892522567,1.692561143,1.393113343,1.819988163,1.303223456,1.320618625
2023/1/1 5:30,1.603587229,2.466568384,1.305937953,1.168532023,1.199475008,1.787295961,1.413449966,2.056236029,1.322046166,1.280693453
2023/1/1 5:45,2.306758233,1.939756625,1.406834954,1.355213935,0.595657993,1.338959266,1.394823819,1.484976673,1.554059983,1.21660206
2023/1/1 6:00,1.912364468,2.09227522,1.468590567,1.105051829,1.107114734,1.590362674,1.435464711,1.663339771,1.773991309,1.747160977
2023/1/1 6:15,2.347740466,2.33687361,1.849876496,1.608639153,1.665248332,1.877762221,3.142321415,2.084307014,1.85920474,1.437816122
2023/1/1 6:30,2.15031166,-2.799429202,1.6807194,1.334064935,1.322380757,2.131249783,1.680186482,2.013634969,1.691293274,1.599768468
2023/1/1 6:45,2.2537139,2.73503423,1.712403172,1.319391198,1.693180077,1.996674058,1.771856258,2.085049792,2.099971236,1.674392175
2023/1/1 7:00,2.302522968,2.611019297,1.796570519,1.221878479,0.985204077,2.051977771,1.456430637,1.996542239,1.849146959,1.776935771
2023/1/1 7:15,2.225753434,2.733827833,1.87840106,1.253989338,1.757330754,2.457701674,1.874770021,2.024779646,2.365490335,1.90108513
2023/1/1 7:30,2.479122076,2.878086265,1.867421419,-6.473426763,1.52422391,0.275984523,1.878723875,2.630164832,1.826256554,5.369240802
2023/1/1 7:45,2.247788609,2.830923245,1.758230623,1.417866899,1.668767137,2.264987772,1.792012624,2.552106642,2.446713604,1.84319314
2023/1/1 8:00,2.660346366,2.835644385,1.782796933,1.880984581,-7.079009687,2.499380355,1.866963083,2.888096945,2.485208912,2.098447436
2023/1/1 8:15,3.017771732,7.254310553,1.957167175,1.573350352,1.800331895,2.814974882,2.146974649,2.757213134,2.228622186,2.249479811
2023/1/1 8:30,3.168924393,3.088756458,2.119567069,1.972290604,1.523586226,2.273840293,1.82212853,2.62585695,2.709277194,2.012514917
